"phase III study",1
"Supportive care",1
"Risk",2
"Alopecia",1
"survival aspects",9
"Clinical (qualifier value)",1
"regimen",2
"Late (qualifier value)",1
"Second (qualifier value)",1
"Unmarried person",1
"Treatment Failure",1
"Upper arm",1
"With quality (attribute)",2
"Relapsing course",1
"Lower (qualifier value)",1
"Doxycycline",1
"Addresses [Publication Type]",1
"Progression-Free Survival",2
"Dosages (qualifier value)",1
"Median Statistical Measurement",2
"Cessation of life",4
"Rating",2
"Continuance of life",9
"Singular",1
"Science of Statistics",1
"Granulocyte Colony-Stimulating Factor",1
"Mortality Vital Statistics",1
"Ifosfamide",1
"Overall [Publication Type]",5
"Result (navigational concept)",2
"With frequency",1
"Cardiotoxicity",1
"Gastrointestinal",1
"Problem (finding)",1
"Relapse",1
"Greater (qualifier value)",1
"Established (qualifier value)",1
"Depth (qualifier value)",1
"Thymidine",1
"Surgeon (occupation)",1
"Stroma",1
"Agent (attribute)",1
"Vincristine",1
"Report (document)",1
"Follow-up status (finding)",1
"Time",1
"Aspects of mortality statistics",1
"Combined (qualifier value)",1
"Toxicity aspects",5
"Running",1
"Reporting",1
"Levamisole",1
"Improving (qualifier value)",4
"Leucovorin",1
"Hematologic (qualifier value)",1
"Meaningfulness",1
"Frequency of Responses",2
"Actuary (occupation)",1
"progesterone receptor negative",1
"Improved (qualifier value)",5
"Complication Aspects",1
"Additive (qualifier value)",2
"month (qualifier value)",3
"Room of building - Study",4
"Radiation therapy",3
"Therapeutic procedure",3
"Excision",1
"Malignant neoplasm of cervix uteri",1
"Combine, device (physical object)",1
"Laboratories",1
"Risk Factors",1
"Address (observable entity)",1
"Status (attribute)",1
"Analysis of substances",1
"Arm",2
"Reduced (qualifier value)",1
"Unmarried",1
"Primary operation (qualifier value)",1
"Layer",1
"Significant (qualifier value)",4
"Diameter (qualifier value)",1
"Mitomycin",1
"Major (qualifier value)",1
"radiotherapeutic",3
"pharmacotherapeutic",5
"Abscess",1
"Cancer treatment response rate",2
"Increase (qualifier value)",2
"Survival Rate",1
"Multiple Organ Failure",1
"Vomiting NOS (disorder)",1
"Neurotoxicity Syndromes",1
"Financial cost",1
"Lengths (qualifier value)",1
"Pelvis",1
"Philadelphia",1
"Immature (qualifier value)",1
"Postmenopausal state (finding)",1
"Excision - action (qualifier value)",1
"Disease Progression",1
"None (qualifier value)",1
"Quantity (attribute)",1
"estrogen receptor negative",1
"Local (qualifier value)",1
"Mitomycins",1
"Anastomosis",1
"Large tumor (finding)",1
"First (qualifier value)",1
"Analysis",1
"Doxorubicin",1
"Severe (severity modifier) (qualifier value)",1
"Random Allocation",1
"Methodology",1
"Primary",1
"Disease-Free Survival",5
"Scientific Study",4
"Groups (qualifier value)",3
"Distant (qualifier value)",1
"Group (social concept)",2
"Entire head",1
"Effect (qualifier value)",2
"therapeutic aspects",3
"Extravasation (morphologic abnormality)",1
"Chemotherapy, Adjuvant",2
"Duration",2
"Conventional (qualifier value)",1
"irinotecan",1
"benefits",1
"disorder control",1
"Vomiting",1
"Effective (qualifier value)",1
"Duplicate",1
"Complication",1
"Active",1
"Percent (qualifier value)",1
"Concurrent (qualifier value)",1
"5'-deoxy-5-fluorouridine",1
"One (qualifier value)",1
"Skeletal bone",1
"Lassitude",1
"Preliminary (qualifier value)",1
"Critic (occupation)",1
"Attenuated by (contextual qualifier) (qualifier value)",4
"Asthenia",1
"Median (qualifier value)",2
"Negative (qualifier value)",1
"Patients",5
"Related (finding)",1
"Generations",1
"Pharmacotherapy",5
"Gastro-jejunostomy",1
"Courses (qualifier value)",1
"Better (qualifier value)",1
"More (qualifier value)",1
"Planned (qualifier value)",1
"year (qualifier value)",3
"Entire neck",1
"Three (qualifier value)",1
"Phosphate normal",1
"APPARENTLY",1
"Differential (qualifier value)",5
"Cost aspects",1
"Relapse phase",1
"NODE",1
"Techniques",1
"Five (qualifier value)",1
"Head",1
"Nausea",2
"Bone Marrow Transplantation",1
"Toxic effect",5
"Meaning",1
"Most (qualifier value)",1
"Chemotherapy-Oncologic Procedure",5
"Discontinuation (procedure)",1
"Neck",1
"Crisis (finding)",1
"Good (qualifier value)",1
"Paresis",1
"Psychotherapy, Group",1
"Cisplatin",3
